AW_CODE,Grants,Value,DURATION
"800,411",One or more,$750.00 per annum,Three years.
"800,413",,,1 Year (Master's) and up to 3 Years (PhD)
"800,414",One,"$1,000",One year
"800,416",One each year.,"$1,000 each year.",Tenable for two years.
"800,420",Up to two scholarships at each levelof study.,"$1,000 ( Honours or Master's) $3,500for (Master's thesis) $4,000 for (PhD)","The length of tenure shall be one year, with the right to reapply in subsequent years."
"800,424",,,1 Year (MForSc) and 2 years (PhD)
"800,426",,,One year.
"800,427",,,1 year
"800,428",,,One Year
"800,432",,,"1 year
The scholarship is not tenable within New Zealand."
"800,434",,,One year.
"800,435",,,One Year
"800,436",,,1 - 2 EFTS
"800,437",Varies,"$6,000",One Year
"800,438",Varies,refer 'Additional Information',1 Year
"800,444",One,"NZ$35,000.00",One Year
"800,445",Refer to application organisation.,"Owing to limited funds available, awards are necessarily modest.",Maximum of three months.
"800,447",,,Each study grant is for one year.  Each applicant can apply for a grant yearly for a total of 3 times.
"800,450",Varies.,"$1,000",One year.
"800,452",Two,"$1,500",One year.
"800,456","One If, in any year, there are two candidates of equal merit, the award may be shared.","$1,000",1 Year
"800,467",,,One off grant.
"800,469",Varies,"up to $1,000.",Not Applicable
"800,470",Varies.,$600,Not Applicable
"800,471",Varies,Varies according to circumstances.,"Not applicable, grant-in-aid to assist with expenses involved in attending conferences."
"800,472",Varies.,Up to $500.,One off grant.
"800,474",Varies each year.,up to $300,One Year
"800,475",Varies,$300,1 Year
"800,480",,,One year
"800,483",,,One year
"800,485",,,One Year
"800,486",Varies,Determined by the Trustees every year,Grants are limited to 3 years of tertiary study; in effect only 6 half yearly grants per student are awarded.
"800,506","1st, 2nd and 3rd prize each year.",1st prize $500. 2nd prize $250. 3rd prize $150.,One off cash payment.
"800,509",One.,annual stipend,Up to 3 years for PhD or professional doctorate.
"800,513",,,"Each Scholarship shall be tenable for three years, but the Council may in any case and upon receipt of a favourable report from the Senate extend the term of any such Scholarship or Scholarships for a further year."
"800,519",,"The value of the award is expected to be about $NZ 12,000 but will vary at the discretion of the panel.",The Fellowship is for one year.
"800,521",,,Up to 2 years.
"800,523",,,One year.
"800,526",,,"2 years.

The Council may, on the recommendation of the Dean of the Faculty of Music, extend the term of a Scholarship."
"800,527",,$700 and shall be used to cover expenses for thesis research into geography of the South Pacific.,One year.
"800,528",,,Varies
"800,530",,,1 Year
"800,531",Varies,"Up to $4,000","Up to 2 years.

The Awards shall be granted for the minimum period required by the successful applicants in order to complete the Degree of Bachelor of Arts, with a maximum period in each case of two years."
"800,532",One,Up to $3000,One year
"800,536",Varies,"Monthly 125,0000 yen (an additional monthly stipend of 2,000 or 3,000 yenmay be provided).","This scholarship is available to applicants who are between 17 and 22 years old at the point of application and have completed 12 years of school education or have completed courses in a school comparable to a high school (includes prospective graduates). Applicants must be New Zealand citizens. A five-year scholarship is offered (first year in Japanese language training) beginning in April. For those majoring in medicine, dentistry or veterinary medicine the term of scholarship is seven years."
"800,654",At the discretion of the Trustees,Up to $500.,
"800,657",One per year.,"$1,200.",One year.
"800,661",,,One year.
"800,662",,,One year.
"800,667",One,"$3,000",One year.
"800,671",One per year.,"$3,500.",One year.
"800,675",1,$800,1 year
"800,678",One per year.,$800.,Tenable for one year.
"800,679",,,1 Year
"800,680",,,Tenable for one year.
"800,681",,,One year.
"800,682",,,One year.
"800,685",,,See additional information.
"800,686",,,1 year
"800,687",,,The Scholarship shall be tenable for three years
"800,688",,,One year
"800,689",,,One year.
"800,690",,,Three years.
"800,691",,,One year.
"800,693",One or two per year.,Subject to funds available,One year
"800,695",Up to four annuallly,Unspecified value,One year
"800,699",12 per year (US Citizens). 10-12 peryear (international).,See additional information.,One academic year (September to June).
"800,702",One,"Up to $5,000 per annum paid",One year
"800,703",Up to two annually,Unspecified amount,One year.
"800,725",One each year.,"Up to $2,000 annually.",One year.
"800,737",,,One year.
"800,739",One (occassionally awarded jointly).,"approx $14,000",The successful applicant is expected to complete travel by June of the year following application.
"800,740",One.,"$2,000.",Up to three years.
"800,757",Varies,"Yen 210,000 per month. Travel to/from Japan (max Yen300,000) See other information below.",For a period ranging from six to twelve months.
"800,758",,"SEK 12,000 per month for graduate and research students and SEK 15,000 for holders of Ph.D.",The maximum scholarship period is three academic years but the scholarships are usually granted for one academic year (nine months) at the time. They can also be awarded for study period of shorter duration.
"800,761",,,Duration of first undergraduate degree.
"800,763",,"Doctoral $25,000 per annum plus research/tuition fees; Masters $15,000 plus research/tuition fees",For Masters up to 12 months; for Doctoral up to 2 years.
"800,765",,,1 Year.
"800,766",Between 1 and 5 per year.,"$500 to $2,500.",Must be used within 12 months.
"800,768",One available every three years,Up to an amount equivalent to the Lincoln University Doctoral Scholarship,Up to three years.
"800,771",,,"One year in the first instance, but provided Senate is satisfied with the progress of the student, it will be renewed for a second year, and, if required, for part or all of a third year."
"800,773",,,"One year in the first instance, but, provided Senate is satisfied with the progress of the student, it will be renewed for a second year, and if required, for part or all of a third year."
"800,774",One - a second Scholarship may be awarded if funds permit.,"at least $2,000.","One year. 

The Selection Committee may recommend that the current Scholar be awarded a Scholarship for a second consecutive year if no other award is made for that year."
"800,777",,,"The Scholarship shall be tenable for one year. The Scholar, on application, may be permitted to hold a Scholarship for more than one year provided the Scholar is enrolled for a postgraduate course in Accounting and Finance and maintains a satisfactory rate of progress and standard of performance."
"800,778","One. In cases where two or more can-didates are considered to be of equal merit, the Scholarship may be divide",The annual value of the Scholarship shall be reviewed annually by the Chamber.,"Each Scholarship so awarded shall be tenable for one year, but may be renewed for a second year on the recommendation of the Selection Committee."
"800,780",,,One year.
"800,784",,,One year.
"800,791",,,One year.
"800,793",,,Tenable for a period of one academic year.
"800,794",,,One year.
"800,795",,,"Up to one year.

The value of each award shall be determined upon the nature, importance and likely cost of the proposed elective study."
"800,796",,Determined on each occasion by the Council on the recommendation of the Head of the Department of Physiology.,
"800,797",,"A value of not less than $1,000, theexact amount to be determined by theTrustees.",One year.
"800,799",,"Up to the total value of $30,000 forstudy overseas. Up to $10,000 for study at University of Auckland",One year
"800,800",,,The tenure of each Scholarship shall be one year.
"800,801",,,One year.
"800,802",,,"One year; except that where a student is enrolled for any Degree or Diploma for which he or she is specialising in performance, he or she may hold the Scholarship in more than one year."
"800,803",,,"The Scholarship shall be tenable at The University of Auckland for one year, provided that a person may be awarded the Scholarship a second time."
"800,804",,,One year.
"800,805",,,"One year, however, a recipient will be eligible to apply for the Scholarship in the year following the recipient's first holding of the Scholarship."
"800,806",,,"One year, however, a scholar shall be eligible to apply for the Scholarship available in the year following the Scholar's first holding of the Scholarship."
"800,807",,"$2,500 pa incl examiners fees or such other sum as the Trustees may, fromtime to time, nominate.","One year. A scholar shall be eligible to reapply for one of these Scholarships in the year next following the award, but not thereafter."
"800,808",Up to 5.,"Up to $2,500",1 year.
"800,811",Varies,"NZD $50,000",Two year pre-University period of overseas study commencing September.
"800,812","Varies - depends on the duration of course of study/training programme, its location as well as other factors","Varies - depends on the duration of course of study/training programme, its location as well as other factors",Usually up to one year but up to two years may be considered by the selection panel.
"800,821",,,"Previously the duration was three months and six months, these have now been slightly changed to 2 terms and 1 term being a requirement by the MOE to align all awards with school terms."
"800,829",No limit as long as criteria met.,Varies depending on the allowance being applied for. Refer to MOE guidelines.,Length of attendance at school provided that place of residence and local transport facilities remain unchanged.
"800,831",No limit as long as criteria met.,"$2,725 per annum, $681.25 per term.","One year, need to reapply each year."
"800,832",No limit provided criteria met.,"$2,725 per annum, $681.25 per term.","One year, need to reapply each year."
"800,833",Varies.,"Elite Tertiary (Up to $30,000) Secondary (Up to $1,500)",1 year
"800,836",,,One year.
"800,837",,,The Scholarship shall ordinarily be tenable for two years but may be extended for a third year if it appears to the Council that the renewal is likely to result in work of scientific importance.
"800,839",Up to two awards annually.,Not exceeding $600 each in value or such other amount as may from time totime be determined.,One year.
"800,840",,,"One year.

No student may receive a Sir George Grey Scholarship more than once."
"800,842",,,"The Scholarship shall be tenable for one year, but may be extended by the Council to two, three, or even four years on the recommendation of the Senate."
"800,847",Up to three,"A$5,000 per annum.",1 year (renewable)
"800,849",One per year.,"$2,500. Provided suitable positions available, company will offer paid employment during summer vacation.",One year.
"800,850",Varies.,"$10,000",1 year.
"800,852","One per year, two if funds permit.",$800 per year.,One year.
"800,853",,,One year; but the holder may re-apply at the end of the year of tenure.
"800,861",,,1 year.
"800,863",Two each year.,Course Fees,8 days plus travel
"800,865",10,"Laureates 100,000 Swiss francs - Young Laureates 50,000 Swiss francs",Two years
"800,872",,Award consists of a trophy and a certificate. Merit prizes may also be awarded.,
"800,875",,The award is in the form of a certificate presented at the IPENZ convention dinner.,
"800,898",One,see 'Additional Information',Up to six months.
"800,902",One,see 'additional information',Up to four years.
"800,905",One,A stipend plus University fees.,Up to three years (full time) or fours years (part time).
"800,906",,Salary provided,Up to three years full time.
"800,907",One,Salary provided see 'additional information'.,Up to four years.
"800,908",One,see 'additional information',Up for four years
"800,910",One,See 'Additional Information',Up to two years.
"800,912",Three fellows will be appointed eachyear.,refer ' Additional Information',One Year
"800,935",,"Normally modest grants, but there isa provision for bigger one off grants (normally under $1,500).",One off support.
"800,941",,,One year
"800,943",,,"Three years.

The holders of the Scholarships shall be entitled to payment of the Scholarship at the end of April, or as soon as the award is confirmed. Upon receipt of any adverse report from a Head of Department, the Council may cancel the Scholarship."
"800,944",,,Up to 3 years
"800,945",,,One year.
"800,949",Up to three,"$1,500 each in total, paid over three years","The scholarship is tenable for a maximum period of three years at any University/Tertiary Institution in New Zealand, by a scholar who is undertaking full time study for his or her first degree/qualification and the value of the scholarship is $1,500, a third of which shall be applied in each of the three years during which the scholarship is tenable."
"800,951",,,One Year
"800,955",,,3 years
"800,957",20 each year.,$1000 each.,One Year
"800,959",,,One Year
"800,960",,,One year
"800,961",,,One Year
"800,962",Varies,Refer to Funder,Refer to Funder
"800,964",One each year.,$700.,One year.
"800,965",One each year.,$300.,One year.
"800,967",At least 15  awards,For  $3000 to $4000,One year.
"800,968",At least three,Up to $5000,One year.
"800,970",,,One Year
"800,991",,,Refer to Funder
"800,994",A maximum of 5 research projects,"Up to $50,000 per project.",12 Months.
"800,997",One each year.,"$5,000",Once only award to any one recipient.
"801,009",,,
"801,010",As required.,Varies.,Each is a one off grant.
"801,011",,"Up to $5,200 per individual.",
"801,012",Varies.,"$15,600 maximum per individual.",Indefinite.
"801,014",Dependant on applications,"Up to $5,000.",Refer to Funder
"801,015",,,1 year
"801,019",One or more,Determined each year,One year
"801,021",,,One year
"801,027",Varies,normally $2000 could differ at the discretion of the select committee,One year
"801,049",Six,Up to $500,1 year
"801,056",,,
"801,057",,,1 year
"801,073",1 each year.,"$10,000 matched by $10,000 Creative New Zealand grant.",12 Weeks
"801,075",Varies,"Maximum amount $10,000",One Year
"801,076",,,
"801,082",Normally ten per annum,Depends on student's financial need.,One Year
"801,083",,,Unspecified
"801,089",,,Not applicable
"801,090",,,One Year
"801,091",,,Not applicable.
"801,096",,,One year
"801,097",,,The award may be renewable.
"801,099",,,One Year
"801,100",,,One year
"801,102",One per annum,"Approximately $5,000",One year
"801,107",Varies,Varies,One off grant each year.
"801,108",,,Varies
"801,109",,,"Maximum of four years full time study.

For part time students the scholarship may be given for up to five years."
"801,119",May be awarded to more than one person.,"$5,000 total value per annum. (May be split among more than one person.)",One year.
"801,120",May be awarded to more than one person.,$800 minimum value per year. (May besplit among more than one person.),One year.
"801,122",One each year.,"Up to $3,000 per annum.",
"801,124",One each year.,"$5,000.",One year.
"801,125",One each,"Up to $6,000 per annum",One year.
"801,126",One each year.,"Up to $3,000 per annum.",One year.
"801,127",One each year.,"Up to $3,000 per annum.",One year.
"801,130",One each year.,"Up to $4,000 per annum.",One year.
"801,133",One each year.,Up to $800 per annum. Value decided annually.,One year.
"801,136",One,Determined year by year,One year.
"801,137",One,Determined each year from interest earned on the capital.,One Year
"801,138",One each year.,"Up to $2,000",One year.
"801,142",One each year.,"$1,500 per annum.",One year.
"801,143",Varies,Determined by the Scholarships Committee,One Year
"801,144",1 each year.,"$1,000 plus research expenses.",
"801,146",1 each year.,Up to $500 per annum.,
"801,151",,,The scholarship is available for up to two years according to the course of study. Continuation of the scholarship for a second year is dependent upon a positive report from the institution where the scholar is studying. The course of study must be commenced in the year that the award is made i.e. the year of application.
"801,154",1 each year.,Up to $600 per annum.,1 year.
"801,155",Varies.,"Up to $3,000 per annum.",
"801,158",Varies each year.,Course Fees 'Only',1 Year
"801,160",Varies,At the discretion of the Applied Academic Programmes Scholarships Committee.,One Year
"801,163",One,"Up to $1,500 per annum.",One Year
"801,164","1 each year, as funds permit.","Up to $1,000 per annum.",
"801,166",One each year.,"Up to $1,500 per annum.",Normally the recipient shall have the Scholarship renewed for a period not exceeding three years subject to satisfactory academic progress and reapplication by the recipient each year.
"801,167",One,Determined by Trustees,One Year
"801,169",Varies.,"Up to $10,000 each per year each. Usually $1000 to $3000 is awarded",One year but may be extended so long as the recipient achieves satisfactory results and still qualifies under the financial hardship criteria.
"801,184",One each year.,"Up to $2,000 per year. Value may vary depending on the available funds.",One year.
"801,185",Two,"$6,000.",Two year period.
"801,194",Varies,$600 per year.,3 years.
"801,197",4 each year.,50% of fees.,up to four years.
"801,200",Varies,Varies year by year,One Year
"801,201",Determined by Trustees,Determined by Trustees,1 year
"801,202",One each year.,"Up to $8,000 per annum.",Tenure is for one year and may be awarded to the same candidate in more than one year.
"801,203",One or more per year.,Value determined each year dependingon the return from investments.,
"801,206",1 each year.,"Up to $1,400 per year.",1 year.
"801,207",One each year.,"Up to $1,000 per year.",One year.
"801,212",One,Determined each year,One year.
"801,213",One each year.,"Up to $2,000 per annum.","Awarded initially for one year, however the scholarship may be awarded to the same candidate in following years."
"801,214",One each year.,"Up to $2,000 per annum.",One Year
"801,224",Four,"$4,000 per academic year plus tuition fees.",Tenable for the minimum time required to complete the course of study.
"801,230",Up to 20,"Dependent on funding available, but will be for a minimum of $500 per person.",One year.
"801,233",Two.,"Upto $1,500 each.",One year.
"801,238",,,1 year.
"801,239",Three.,Varies each year,One year.
"801,241",One.,$350.,One year.
"801,242",Up to three,Varies annually,1 year.
"801,243",Varies,Varies year to year,Up to three years.
"801,251",Varies,"$5,000 each.",1 year.
"801,254",Two,see section Additional Information,Refer to Funder
"801,257",One,"$5,000",Not Applicable
"801,259",One,"$5,000",Not Applicable
"801,261",Loans are made according to availability of funds.,Dependant on amount required and available funds,"Loans are expected to be repaid by regular, monthly, fortnightly or weekly instalments and are reviewed at three year intervals.

Up to 30 years term (secured house loans)"
"801,262",Three scholarships of varying amount.,"1) Scholarship $1,800 per annum. 2) Scholarship $1,700 per annum. 3) Scholarship $1,500 per annum.",Award is credited to students fees account each term for duration of the time the student is enrolled at the school (subject to continued academic performance and behaviour).
"801,267",Up to 10,Tuition fees and access to the Canterbury Netball Union's development programme,Minimum time required to complete qualification.
"801,269",Up to 20,Tuition fees plus access to the Canterbury Rugby Football Union's development programme,Minimum time required to complete chosen course.
"801,270",Up to 15 per year,Tuition fees plus access to the Canterbury Cricket Association's development programme,Minimum time taken to complete full time course chosen.
"801,286",,,One per year.
"801,288",,,One year.
"801,293",Varies,At the discretion of the Trustees,One Year
"801,296",One per annum.,"$5,000",One year.
"801,302",,"Contribution towards course or seminar costs, or to other costs as may berelevant to the applicant.",1 year
"801,303",Two,"$1,000  each (This scholarship is a rebate against programme fees.)",1 Year
"801,305",One.,$500,1 Year
"801,307",Two,Up maximum value of $1500.00 each,One year.
"801,308",,,1 Year
"801,309",One.,"$2,500",The tenure of the Award shall be for a period of one year but this may be extended for a further year if it is deemed desirable to do so having regard to the particular work being undertaken.
"801,327",One per annum,"$2,000 per annum",Three years.
"801,334",Approximately 180 per year.,"Up to USD$8,000 per year, based on need.",The application is made for a period not to exceed one year (two semesters and one summer session or equivalent). Extensions are possible.
"801,336",One applicant qualified per annum.,Depends on number of applicants accepted each year.,Programme duration.
"801,341",,,Not specified.
"801,342",Varies,900 Euro plus flat-rate travel allowance,Six weeks in January/February
"801,343",Variable,Depending on academic status betw. 2000-2300 Euro per month and subsidiary allowances.,1-3 months
"801,357",Variable number each year.,Up to $250. Special circumstances may enable more to be given.,One course.
"801,361",One or more,"$1,000",1 year only.
"801,362",,,1 year.
"801,363",,,"One year.
The Scholarships shall be paid in a lump sum by way of a refund upon the Scholar(s) providing a receipted University fees invoice for the relevant course in Polish Studies."
"801,367",,,One year.
"801,369",,,"A Scholarship shall be tenable for a maximum of thirty-six months for a PhD candidate. The exact tenure will be stipulated by the Scholarships Committee on a case by case basis as awards are made.

A six month extension of funding may be granted on application to the Scholarships Sub-Committee."
"801,370",,,One year
"801,372",One.,"Total value of $2,500.","Normally one year, however, in certain circumstances, students may be permitted to apply for an extension of their Scholarship up to 12 months to enable them to further their studies.  Such an extension will normally only be granted in cases of exceptional ability and severe financial need."
"801,373",,,One year.
"801,375",Up to two.,"Up to $5,000 per annum. The total amount awarded will not exceed $5,000 per year",One year.
"801,376",Varies,Variable,1 year (or more)
"801,378",2,"Up to $4,000 each",1 year.
"801,386",,,One year.
"801,387",,,3 years
"801,391",Varies,Value varies yearly,"Termination of study, or end of the school year in which the child turns 23."
"801,413",May be shared between two students at the selection committee's discretion.,"$1,500.",One year.
"801,416",1,Medal and certificate,
"801,420",Varies.,Varies.,One conference.
"801,421",,,One year.
"801,422",,,One year.
"801,426",One or more each year.,Tuition fees (NZ domestic rate),"One year for fulltime students, two years for part time students."
"801,428",Two per year.,"$1,000 per annum",One year.
"801,429",Varies according to funds available,"$2,000",1 year
"801,430",One per annum.,"Up to $1,000.",One year.
"801,431",One per annum.,"Up to $80,000. Maximum $60,000 salary and $20,000 working expenses.",Duration is up to one year full-time or two years for part-time.
"801,434",,,Three years
"801,435",,,For tenure while pursuing professional engineering studies at a university in New Zealand
"801,438",,,One year.
"801,439",Two or more,Determined annually Subject to fundsavailable,One year.
"801,440",,,One year.
"801,443",At the discretion of the Trustees,"NZ$1,540 towards tuition fees",One Year
"801,445",One per annum.,"$1,500 towards second year programmefees.",One year.
"801,446",,"Upto $13,000 over 3 years within Auckland;$18,000 for students fromoutside the Auckland area.",The value is spread over a maximum of three years. The awards will be paid on a semester basis subject to satisfactory performance in the prior semester and continued eligibility for a student allowance or other welfare benefit.
"801,455",One per annum.,Refer to the Guidelines,Refer to the Guidelines
"801,457",,,One year
"801,461",Up to 5,"Up to $1,000 each",1 year
"801,465",Variable,"$1,500 each",1 Year
"801,481",,,One year.
"801,482",One per year.,"Up to $60,000","The scholarship shall be for one year, unless the trustee, for any reason which it
deems sufficient, determines that the scholarship shall be for such shorter or longer period as it may specify."
"801,485",Up to 5,"$3,000 each",1 year
"801,490",2 each year.,"$4,500.",1 year.
"801,497",,,One Year
"801,502",,,One year
"801,506",,,One year but may be extended at the discretion of the Trustees.
"801,507",,,
"801,510",,,One year.
"801,511",,,One year.
"801,513",,,One year.
"801,520",One award offered every second year,Salary provided,Two years in UK
"801,526",One,Full exchange programme costs,1 year.
"801,528",Varies,Contribution towards total costs of any exchange programme.,One Year
"801,538",Two,"$2,500",One year or semester programme.
"801,539",One,"$7,500.00",One Year
"801,544",One,Tuition fees paid directly to student's fees account,One year
"801,549",Two.,"$20,000 p.a, stipend plus $5,000p.a Refer to Guidelines available from the website.","The award is for two years in the first instance with extension to three years, subject to satisfactory evidence of progress."
"801,553",Normally one Masters scholarship andone Doctoral scholarship will be awarded each year.,,The scholarship is available for up to three years according to the course of study. It would normally be expected that scholars would study for one degree at a university.
"801,555",Year 9 and Year 11,"Year 9: $1,500 pa. Year 11: $2,000 pa.",One to two years
"801,556",One,"$1,000.",One year.
"801,557",One,$500.,One year.
"801,558",One,$500.,One year.
"801,575",Ten,"Up to $10,000",One Year
"801,577",57 each year.,See additional information.,Fellowship year: 1 July - 30 June.
"801,579",One,"$1,000",One year
"801,581",Variable,Determined by individual circumstance of the artist.,The size and length of the grant is determined by the individual circumstances of the artist.
"801,587",Variable.,see 'eligibility',2 years.
"801,588",Varies.,see additional information,Four years
"801,589",Varies.,"Usually 50% of tuition, but varies.",Two years.
"801,592",,,One year.
"801,593",One per annum.,"$5,000",One year.
"801,595",Three,See 'Additional Information',from 3 to 5 years.
"801,598",Varies,"$2,000 each year of study$5000 additional payment on recieving and accepting Graduate position",Until Law Degree completed.
"801,599",Varies,"Up to $2,500. Inclusive of GST",One year
"801,600",Four each year.,Full attendance activity dues.,One year.
"801,603",,,
"801,604",,,1 Year
"801,613",,,One year
"801,616",Varies,"Stipend of $6,000",General BSA short-term fellowships may be held for two to three months.
"801,619",,,"Tenure will depend on the applicant's research proposal, but is ordinarily up to one month."
"801,627",One,Refer to website,"Two - or three months, must hold at least three-quarters of their awarding during term-time."
"801,628",One.,See 'Tenure of Award',"VALUE
The value of short-term awards will be: applicants domiciled in the United Kingdom (National Insurance contributions required): £1,450 for two months, £2,200 for three months; applicants domiciled abroad, £1000 for one month, £1,800 for two months, £2,600 for three months. The amount of these stipends is absolute; no additional costs will be paid.
 
TENURE
Up to 3 months:"
"801,629",One,,"VALUE
The value of short-term awards will be: applicants domiciled in the United Kingdom (National Insurance contributions required):£1,600 for two months, £2,400 for three months;£3,200 for four months *Applicants domiciled abroad, £2000 for two months, £2,900 for three months,£3,800 for four months.  The amount of these stipends is absolute; no additional costs will be paid."
"801,630",Ten or more.,Refer to Website,"Two, three or four months."
"801,641",Varies,"Up to $2,000 and, subject to the availability of funds, may be supplemented.",1 year
"801,642",,,Tenable for two years.
"801,643",,,One year.
"801,650",,,Up to 3 years.
"801,652",,,One year.
"801,653",,,Three to five months.
"801,656",,,Varies according to individual needs
"801,671",,,"This scholarship covers the cost of academic fees, room and board, as well as travel to and from the study country of the awardee's choice."
"801,680",,,3 years.
"801,685",  Varies,Refer to additional information.,August to June of the following year.
"801,692",,,
"801,696",One per year,"$1,500.00",One year
"801,699",,,
"801,701",Two,"$2,000",One year
"801,702",One per year,Subject to funds available,One year
"801,705",,,One year.
"801,707",One per annum,Accomodation assistance at Victoria Leagues Students' House in London,One year. Apply in April for an August start.
"801,713",Normally one,"$,6000 in the event of the scholarship being shared an amount of $3,000 each",One Year
"801,715",1,$200.,1 Year
"801,716",,,1 year
"801,720",Varies from year to year.,"in range from $1,000 - $5,000",Tenable initially for one year.
"801,725",2 each year.,"$1,500 each.",1 year.
"801,729",Two per year,"$2,000 each",One year
"801,730",,,One year for BSc students. Up to two years for honours students.
"801,733",1 every second year.,"$2,500 annually.",2 years
"801,736",,,1 year.
"801,737",,,1 year.
"801,748",Various,"Varies from $250 - $2,000",Up to 4 years
"801,757",,,One year.
"801,764",,,One year.
"801,778",1 each year.,"$2,500.",1 year.
"801,783",,,
"801,786",,,
"801,787",Varies,Up to $2000,1 year.
"801,790",Variable - last year 20 were awarded.,"Total funds of $200,000. Trust may award funds up to $1,000 per application.",
"801,791",,Refer to Funder,1 Year
"801,795",,,
"801,796",,,One grant per applicant in each calendar year
"801,797",One,"Up to $5,000",One year.
"801,800",,,One year.
"801,963",,,Up to Three years.
"801,971",Up to 11 each year,Tuition fees plus access to the Canterbury Hockey Association's development programme.,Duration of chosen course
"801,982",One each year.,"Up to $3,000.",One year.
"801,983",,,One Year
"801,987",,,One year.
"801,988",,,
"801,989",At least one annually.,"Approximately $1,000.",One year.
"801,996",One each year.,"Up to $1,000.",One year.
"801,997",,"Up to $1,400 per annum.",
"802,000",,,1 Year
"802,005","Three - Junior, Senior and Merit",$750 each.,One year.
"802,006",five per year,"$2,000 Maximum","Two years, payment for the second year of study will be reviewed annually and is subject to funding. Should the student's study programme extend longer than two years, any subsequent scholsrhip funding will be considered on a case by case basis."
"802,009",,,Not applicable
"802,010",,,Tenable for one year.
"802,012",Varies,See 'Additional Information',One year.
"802,020",One,"Up to $15,000 for study purposes.","The recipient may use the award over an extended period or for brief, more intensive study."
"802,021",Up to six per annum.,See additional information.,4-5 years.
"802,022",1 per scholarship,"Merton - part tuition fees Deamer - $1,000 (gst incl)",Awarded annually.
"802,028",One,"$1,000",One Year
"802,029",Four,"$1,000 each.",1 year.
"802,031",,,Up to 2 years.
"802,032",Up to 3 new or renewed scholarships may be awarded each year or renewed for a second year.,,"Up to 2 years. 

In the case of Masters students, the Scholarship may be renewed for the second year of study, subject to outstanding academic performance."
"802,034",,,1 year
"802,035",Three per year,"$3,500",One year
"802,037",,,"One year.  A Scholar shall be eligible to reapply for the Scholarship in the year next following the award, but not thereafter."
"802,054",,,varies
"802,055",,,"1 year (Masters)
3 years (PhD)"
"802,057",One each year.,"$10,000 per annum","Up to two years.  

In exceptional circumstances, the Scholarship may be awarded for one year at twice the normal annual emolument."
"802,062",Up to 25,"Currently awarded with values $10,000 $15,000 or $20,000",1 Year
"802,065",,Amount of awards depends upon the funds available at the discretion of the trustees.,
"802,067",,,One year.
"802,070",,,One Year
"802,079",Varies,"Will pay for tuition fees, amenitiesfees and the Overseas Student Healthcover.",Tenure is for up to two years for masters and up to three years for PhD or professional doctorate.
"802,080",Varies each year,"$13,500",One Year
"802,081",One or more,"Up to $10,000",1 year.
"802,082",,,1 year.
"802,086",Varies,Determined by the Trustees,One year
"802,088",Up to four,see ' additional information',One to Three years.
"802,097",,,1 Year
"802,098",,,One year
"802,099",,,One Year
"802,100",,,Not applicable
"802,103",,,"1-4 years, depending on the course of study."
"802,106",2,Refer 'Additional Information',22 days.
"802,109",,,Scholarships are awarded for a 12 month period.  Multi-year applications will only be considered on a year-by-year basis.
"802,114",,,Not applicable.
"802,116",Varies,"$12,000 per annum, plus tuition fees(NZ domestic rate)",up to 2 years
"802,119",Varies,refer to 'Additional Information',"Depending on the applicant's work schedule, the research stay will last between one and three months."
"802,123",One or more.,Value to be settled by the trustee on recommendation of the advisory committee.,Tenure to be settled on by the trustee on recommendation of the advisory committee.
"802,127",Varies.,"Maximum of $1,000.","Scholarship is available only for the first year of study. Scholarships are partial and will pay a proportion of fees. Maximum scholarship is $1,000. Priority will be given to applicants with a proven commitment to the not-for-profit sector who are supported by their organisation."
"802,131",(unspecified),Varies.,
"802,137",,,One year.
"802,139",,"$1,500 each.",One year.
"802,140",,,One year.
"802,143",3,"$3,000",1 year
"802,144",,,Up to 36 months (pro-rated for part-time students)
"802,145",Approximately twelve,"Up to NZ$5,000",Towards 12 to 90 day visit to the US.
"802,146",,,One Year
"802,148",Varies,Please see 'additional information',9th month program mid August to mid May) with a 5 month residency requirement in Hawai'i.
"802,149",Determined annually by the Trustees,Determined annually by the Trustees,One year
"802,154",One,Funding sum to be confirmed,One Year
"802,156",,,One year.
"802,161",The number awarded each year dependson the funds available.,Equivalent to an Australian Postgraduate Award (see our website for further details),Maximum period of the Fellowship is three years.
"802,162",Varies,Equal to an Australian Postgraduate Award,"Available for one year only, but applicants may reapply for assistance in subsequent years."
"802,165",Up to 100,Varies,Programs last 15 to 24 months and require a practical internship of two to three months during the academic break.
"802,166",,,1 year.
"802,168",,,One Year
"802,169",,,One year
"802,171",One,"$2,500",One year
"802,172",Dependant on available funding.,"$2,000 for full-time students $1,000for part-time, gradute student",1 year.
"802,174",Varies.,The Research Grants may be used to pay course enrolment fees and reasonable research related costs.,The tenure of the Research Grants will be for the duration of the course for which the research is being conducted. This may include semesterised timetables for 4th and 5th year projects. For Masters and PhD projects the money may be allocated through progress payments over a longer period based on achievement of predefined goals.
"802,175",1 each year.,"Up to $2,000 (dependant on availablefunds)",1 year.
"802,181",,,1 year.
"802,186",Two,$4000.00 each,One Year
"802,187",,,Up to 36 months (pro-rated for part-time students).
"802,189",Varies.,"$500 - $5,000 Study related costs.",Up to 1 year.
"802,193",One,"$10,000",Not Applicable
"802,194",One,"$4,000",Not Applicable
"802,196",One,"$4,000",Not Applicable
